run,modem,features,modulation,symbol_rate,ecc,interleaving_depth,burst_rate_per_s,burst_length_ms,raw_ber,post_ecc_ber,clean_decode,aggregate_clean_decode_rate,snr_margin_gain_db_equiv,wf_margin_at_equal_clean_pct
19,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.5623e-04,1.6255e-09,True,0.9667,6.5,0.24
20,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,1.8703e-04,1.3147e-09,True,0.9667,6.5,0.24
21,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.0737e-04,1.8108e-09,True,0.9667,6.5,0.24
22,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.5387e-04,1.2984e-09,True,0.9667,6.5,0.24
23,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,1.7423e-04,1.5069e-09,True,0.9667,6.5,0.24
24,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,3.4257e-04,1.2562e-09,True,0.9667,6.5,0.24
25,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,1.7732e-04,1.6235e-09,True,0.9667,6.5,0.24
26,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.1738e-04,2.7123e-09,True,0.9667,6.5,0.24
27,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,1.9942e-04,2.3520e-09,True,0.9667,6.5,0.24
28,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,1.7552e-04,1.2058e-09,True,0.9667,6.5,0.24
