modulation,symbol_rate,ecc,interleaving_depth,median_raw_ber,median_post_ecc_ber,net_payload_bitrate_bps,payload_MB_per_C60_side,clean_decode_rate,hits_real_lm_threshold,eligible_recommendation
QPSK,9600,hamming74,1,1.0992e-04,3.1757e-08,10971.43,2.469,0.5,True,False
QPSK,9600,hamming74,4,1.1334e-04,8.5655e-09,10971.43,2.469,0.85,True,False
QPSK,9600,hamming74,16,1.0890e-04,2.4451e-09,10971.43,2.469,0.9125,True,False
QPSK,9600,hamming74,64,1.0727e-04,6.8354e-10,10971.43,2.469,0.975,True,True
QPSK,9600,rep3,1,1.0992e-04,2.0549e-08,6400.0,1.44,0.8,True,False
QPSK,9600,rep3,4,1.1334e-04,5.5424e-09,6400.0,1.44,0.95,True,True
QPSK,9600,rep3,16,1.0890e-04,1.5821e-09,6400.0,1.44,0.975,True,True
QPSK,9600,rep3,64,1.0727e-04,4.4229e-10,6400.0,1.44,0.9875,True,True
QPSK,9600,rep5,1,1.0992e-04,1.2142e-08,3840.0,0.864,0.925,True,False
QPSK,9600,rep5,4,1.1334e-04,3.2751e-09,3840.0,0.864,0.975,True,True
QPSK,9600,rep5,16,1.0890e-04,9.3491e-10,3840.0,0.864,1.0,True,True
QPSK,9600,rep5,64,1.0727e-04,2.6135e-10,3840.0,0.864,0.9875,True,True
QPSK,12000,none,1,1.1564e-04,1.2711e-07,24000.0,5.4,0.0,True,False
QPSK,12000,none,4,1.1245e-04,5.7617e-08,24000.0,5.4,0.075,True,False
QPSK,12000,none,16,1.0710e-04,2.6298e-08,24000.0,5.4,0.325,True,False
QPSK,12000,none,64,1.0972e-04,1.0979e-08,24000.0,5.4,0.625,True,False
QPSK,12000,hamming74,1,1.1564e-04,2.9621e-08,13714.29,3.086,0.6,True,False
QPSK,12000,hamming74,4,1.1245e-04,8.3498e-09,13714.29,3.086,0.725,True,False
QPSK,12000,hamming74,16,1.0710e-04,2.5543e-09,13714.29,3.086,0.9375,True,False
QPSK,12000,hamming74,64,1.0972e-04,7.0543e-10,13714.29,3.086,0.9875,True,True
QPSK,12000,rep3,1,1.1564e-04,1.9166e-08,8000.0,1.8,0.8,True,False
QPSK,12000,rep3,4,1.1245e-04,5.4028e-09,8000.0,1.8,0.8875,True,False
QPSK,12000,rep3,16,1.0710e-04,1.6528e-09,8000.0,1.8,0.9875,True,True
QPSK,12000,rep3,64,1.0972e-04,4.5645e-10,8000.0,1.8,1.0,True,True
QPSK,12000,rep5,1,1.1564e-04,1.1326e-08,4800.0,1.08,0.9375,True,False
QPSK,12000,rep5,4,1.1245e-04,3.1925e-09,4800.0,1.08,0.925,True,False
QPSK,12000,rep5,16,1.0710e-04,9.7664e-10,4800.0,1.08,0.9875,True,True
QPSK,12000,rep5,64,1.0972e-04,2.6972e-10,4800.0,1.08,1.0,True,True
8PSK,1200,none,1,2.0286e-04,1.5114e-07,3600.0,0.81,0.375,True,False
8PSK,1200,none,4,1.9027e-04,4.3720e-08,3600.0,0.81,0.7375,True,False
8PSK,1200,none,16,1.7681e-04,1.3812e-08,3600.0,0.81,0.9,True,False
8PSK,1200,none,64,1.9336e-04,3.8748e-09,3600.0,0.81,0.975,True,True
8PSK,1200,hamming74,1,2.0286e-04,5.0758e-08,2057.14,0.463,0.825,True,False
8PSK,1200,hamming74,4,1.9027e-04,1.4283e-08,2057.14,0.463,0.9625,True,True
8PSK,1200,hamming74,16,1.7681e-04,4.4007e-09,2057.14,0.463,0.9875,True,True
8PSK,1200,hamming74,64,1.9336e-04,1.1665e-09,2057.14,0.463,0.9875,True,True
8PSK,1200,rep3,1,2.0286e-04,3.2844e-08,1200.0,0.27,0.925,True,False
8PSK,1200,rep3,4,1.9027e-04,9.2420e-09,1200.0,0.27,1.0,True,True
8PSK,1200,rep3,16,1.7681e-04,2.8475e-09,1200.0,0.27,1.0,True,True
8PSK,1200,rep3,64,1.9336e-04,7.5482e-10,1200.0,0.27,0.9875,True,True
8PSK,1200,rep5,1,2.0286e-04,1.9408e-08,720.0,0.162,0.9375,True,False
8PSK,1200,rep5,4,1.9027e-04,5.4612e-09,720.0,0.162,1.0,True,True
8PSK,1200,rep5,16,1.7681e-04,1.6826e-09,720.0,0.162,1.0,True,True
8PSK,1200,rep5,64,1.9336e-04,4.4603e-10,720.0,0.162,0.9875,True,True
8PSK,2400,none,1,1.8223e-04,1.7234e-07,7200.0,1.62,0.1375,True,False
8PSK,2400,none,4,1.9563e-04,6.0769e-08,7200.0,1.62,0.375,True,False
8PSK,2400,none,16,1.8838e-04,1.9538e-08,7200.0,1.62,0.7875,True,False
8PSK,2400,none,64,1.8464e-04,6.6970e-09,7200.0,1.62,0.925,True,False
8PSK,2400,hamming74,1,1.8223e-04,5.2849e-08,4114.29,0.926,0.775,True,False
