modulation,symbol_rate,ecc,interleaving_depth,raw_ber,post_ecc_ber,net_payload_bitrate_bps,payload_MB_per_C60_side,clean_decode_probability_per_side,hits_phase2_ber_target
QPSK,4800,rep3,64,2.2766e-09,3.4984e-18,3200.0,0.72,1.0,True
QPSK,4800,rep5,1,2.2766e-09,1.1799e-25,1920.0,0.432,1.0,True
QPSK,4800,rep5,16,2.2766e-09,5.3095e-26,1920.0,0.432,1.0,True
QPSK,4800,rep5,64,2.2766e-09,2.6548e-26,1920.0,0.432,1.0,True
QPSK,7200,none,1,8.8092e-09,8.8092e-09,14400.0,3.24,0.795858,True
QPSK,7200,none,16,8.8092e-09,3.9641e-09,14400.0,3.24,0.902352,True
QPSK,7200,none,64,8.8092e-09,1.9821e-09,14400.0,3.24,0.949922,True
QPSK,7200,hamming74,1,8.8092e-09,4.7184e-16,8228.57,1.851,1.0,True
QPSK,7200,hamming74,16,8.8092e-09,2.1233e-16,8228.57,1.851,1.0,True
QPSK,7200,hamming74,64,8.8092e-09,1.0617e-16,8228.57,1.851,1.0,True
QPSK,7200,rep3,1,8.8092e-09,2.3281e-16,4800.0,1.08,1.0,True
QPSK,7200,rep3,16,8.8092e-09,1.0476e-16,4800.0,1.08,1.0,True
QPSK,7200,rep3,64,8.8092e-09,5.2381e-17,4800.0,1.08,1.0,True
QPSK,7200,rep5,1,8.8092e-09,6.8361e-24,2880.0,0.648,1.0,True
QPSK,7200,rep5,16,8.8092e-09,3.0763e-24,2880.0,0.648,1.0,True
QPSK,7200,rep5,64,8.8092e-09,1.5381e-24,2880.0,0.648,1.0,True
QPSK,9600,none,1,1.8548e-08,1.8548e-08,19200.0,4.32,0.526757,True
QPSK,9600,none,16,1.8548e-08,8.3465e-09,19200.0,4.32,0.749419,True
QPSK,9600,none,64,1.8548e-08,4.1733e-09,19200.0,4.32,0.86569,True
QPSK,9600,hamming74,1,1.8548e-08,1.7764e-15,10971.43,2.469,1.0,True
QPSK,9600,hamming74,16,1.8548e-08,7.9936e-16,10971.43,2.469,1.0,True
QPSK,9600,hamming74,64,1.8548e-08,3.9968e-16,10971.43,2.469,1.0,True
QPSK,9600,rep3,1,1.8548e-08,1.0321e-15,6400.0,1.44,1.0,True
QPSK,9600,rep3,16,1.8548e-08,4.6443e-16,6400.0,1.44,1.0,True
QPSK,9600,rep3,64,1.8548e-08,2.3222e-16,6400.0,1.44,1.0,True
QPSK,9600,rep5,1,1.8548e-08,6.3809e-23,3840.0,0.864,1.0,True
QPSK,9600,rep5,16,1.8548e-08,2.8714e-23,3840.0,0.864,1.0,True
QPSK,9600,rep5,64,1.8548e-08,1.4357e-23,3840.0,0.864,1.0,True
QPSK,12000,none,1,3.9511e-08,3.9511e-08,24000.0,5.4,0.181435,True
QPSK,12000,none,16,3.9511e-08,1.7780e-08,24000.0,5.4,0.4639,True
QPSK,12000,none,64,3.9511e-08,8.8899e-09,24000.0,5.4,0.681102,True
QPSK,12000,hamming74,1,3.9511e-08,8.2712e-15,13714.29,3.086,1.0,True
QPSK,12000,hamming74,16,3.9511e-08,3.7220e-15,13714.29,3.086,1.0,True
QPSK,12000,hamming74,64,3.9511e-08,1.8610e-15,13714.29,3.086,1.0,True
QPSK,12000,rep3,1,3.9511e-08,4.6833e-15,8000.0,1.8,1.0,True
QPSK,12000,rep3,16,3.9511e-08,2.1075e-15,8000.0,1.8,1.0,True
QPSK,12000,rep3,64,3.9511e-08,1.0537e-15,8000.0,1.8,1.0,True
QPSK,12000,rep5,1,3.9511e-08,6.1679e-22,4800.0,1.08,1.0,True
QPSK,12000,rep5,16,3.9511e-08,2.7756e-22,4800.0,1.08,1.0,True
QPSK,12000,rep5,64,3.9511e-08,1.3878e-22,4800.0,1.08,1.0,True
8PSK,1200,none,1,1.7916e-09,1.7916e-09,3600.0,0.81,0.988458,True
8PSK,1200,none,16,1.7916e-09,8.0621e-10,3600.0,0.81,0.994789,True
8PSK,1200,none,64,1.7916e-09,4.0311e-10,3600.0,0.81,0.997391,True
8PSK,1200,hamming74,1,1.7916e-09,5.5511e-17,2057.14,0.463,1.0,True
8PSK,1200,hamming74,16,1.7916e-09,2.4980e-17,2057.14,0.463,1.0,True
8PSK,1200,hamming74,64,1.7916e-09,1.2490e-17,2057.14,0.463,1.0,True
8PSK,1200,rep3,1,1.7916e-09,9.6293e-18,1200.0,0.27,1.0,True
8PSK,1200,rep3,16,1.7916e-09,4.3332e-18,1200.0,0.27,1.0,True
8PSK,1200,rep3,64,1.7916e-09,2.1666e-18,1200.0,0.27,1.0,True
8PSK,1200,rep5,1,1.7916e-09,5.7506e-26,720.0,0.162,1.0,True
8PSK,1200,rep5,16,1.7916e-09,2.5878e-26,720.0,0.162,1.0,True
8PSK,1200,rep5,64,1.7916e-09,1.2939e-26,720.0,0.162,1.0,True
8PSK,2400,none,1,1.5372e-08,1.5372e-08,7200.0,1.62,0.819365,True
8PSK,2400,none,16,1.5372e-08,6.9176e-09,7200.0,1.62,0.91425,True
8PSK,2400,none,64,1.5372e-08,3.4588e-09,7200.0,1.62,0.956164,True
8PSK,2400,hamming74,1,1.5372e-08,1.3323e-15,4114.29,0.926,1.0,True
8PSK,2400,hamming74,16,1.5372e-08,5.9952e-16,4114.29,0.926,1.0,True
8PSK,2400,hamming74,64,1.5372e-08,2.9976e-16,4114.29,0.926,1.0,True
8PSK,2400,rep3,1,1.5372e-08,7.0893e-16,2400.0,0.54,1.0,True
8PSK,2400,rep3,16,1.5372e-08,3.1902e-16,2400.0,0.54,1.0,True
8PSK,2400,rep3,64,1.5372e-08,1.5951e-16,2400.0,0.54,1.0,True
8PSK,2400,rep5,1,1.5372e-08,3.6327e-23,1440.0,0.324,1.0,True
8PSK,2400,rep5,16,1.5372e-08,1.6347e-23,1440.0,0.324,1.0,True
8PSK,2400,rep5,64,1.5372e-08,8.1735e-24,1440.0,0.324,1.0,True
8PSK,4800,none,1,1.4482e-07,1.4482e-07,14400.0,3.24,0.023429,True
8PSK,4800,none,16,1.4482e-07,6.5170e-08,14400.0,3.24,0.184668,True
8PSK,4800,none,64,1.4482e-07,3.2585e-08,14400.0,3.24,0.42973,True
8PSK,4800,hamming74,1,1.4482e-07,1.1013e-13,8228.57,1.851,0.999998,True
8PSK,4800,hamming74,16,1.4482e-07,4.9560e-14,8228.57,1.851,0.999999,True
8PSK,4800,hamming74,64,1.4482e-07,2.4780e-14,8228.57,1.851,1.0,True
8PSK,4800,rep3,1,1.4482e-07,6.2920e-14,4800.0,1.08,0.999999,True
8PSK,4800,rep3,16,1.4482e-07,2.8314e-14,4800.0,1.08,1.0,True
8PSK,4800,rep3,64,1.4482e-07,1.4157e-14,4800.0,1.08,1.0,True
8PSK,4800,rep5,1,1.4482e-07,3.0374e-20,2880.0,0.648,1.0,True
8PSK,4800,rep5,16,1.4482e-07,1.3668e-20,2880.0,0.648,1.0,True
8PSK,4800,rep5,64,1.4482e-07,6.8341e-21,2880.0,0.648,1.0,True
8PSK,7200,none,1,4.6248e-07,4.6248e-07,21600.0,4.86,0.0,True
8PSK,7200,none,16,4.6248e-07,2.0812e-07,21600.0,4.86,0.000306,True
8PSK,7200,none,64,4.6248e-07,1.0406e-07,21600.0,4.86,0.017496,True
8PSK,7200,hamming74,1,4.6248e-07,1.1230e-12,12342.86,2.777,0.999975,True
8PSK,7200,hamming74,16,4.6248e-07,5.0535e-13,12342.86,2.777,0.999989,True
8PSK,7200,hamming74,64,4.6248e-07,2.5267e-13,12342.86,2.777,0.999994,True
8PSK,7200,rep3,1,4.6248e-07,6.4167e-13,7200.0,1.62,0.999992,True
8PSK,7200,rep3,16,4.6248e-07,2.8875e-13,7200.0,1.62,0.999996,True
8PSK,7200,rep3,64,4.6248e-07,1.4438e-13,7200.0,1.62,0.999998,True
8PSK,7200,rep5,1,4.6248e-07,9.8920e-19,4320.0,0.972,1.0,True
8PSK,7200,rep5,16,4.6248e-07,4.4514e-19,4320.0,0.972,1.0,True
8PSK,7200,rep5,64,4.6248e-07,2.2257e-19,4320.0,0.972,1.0,True
8PSK,9600,none,1,1.1974e-06,1.1974e-06,28800.0,6.48,0.0,True
8PSK,9600,none,16,1.1974e-06,5.3882e-07,28800.0,6.48,0.0,True
8PSK,9600,none,64,1.1974e-06,2.6941e-07,28800.0,6.48,1e-06,True
8PSK,9600,hamming74,1,1.1974e-06,7.5270e-12,16457.14,3.703,0.999777,True
8PSK,9600,hamming74,16,1.1974e-06,3.3872e-12,16457.14,3.703,0.9999,True
8PSK,9600,hamming74,64,1.1974e-06,1.6936e-12,16457.14,3.703,0.99995,True
8PSK,9600,rep3,1,1.1974e-06,4.3012e-12,9600.0,2.16,0.999926,True
8PSK,9600,rep3,16,1.1974e-06,1.9355e-12,9600.0,2.16,0.999967,True
8PSK,9600,rep3,64,1.1974e-06,9.6777e-13,9600.0,2.16,0.999983,True
8PSK,9600,rep5,1,1.1974e-06,1.7167e-17,5760.0,1.296,1.0,True
8PSK,9600,rep5,16,1.1974e-06,7.7252e-18,5760.0,1.296,1.0,True
8PSK,9600,rep5,64,1.1974e-06,3.8626e-18,5760.0,1.296,1.0,True
8PSK,12000,none,1,2.1987e-03,2.1987e-03,36000.0,8.1,0.0,False
8PSK,12000,none,16,2.1987e-03,9.8943e-04,36000.0,8.1,0.0,False
8PSK,12000,none,64,2.1987e-03,4.9471e-04,36000.0,8.1,0.0,False
8PSK,12000,hamming74,1,2.1987e-03,2.5195e-05,20571.43,4.629,0.0,False
8PSK,12000,hamming74,16,2.1987e-03,1.1338e-05,20571.43,4.629,0.0,False
8PSK,12000,hamming74,64,2.1987e-03,5.6689e-06,20571.43,4.629,0.0,False
8PSK,12000,rep3,1,2.1987e-03,1.4482e-05,12000.0,2.7,0.0,False
8PSK,12000,rep3,16,2.1987e-03,6.5169e-06,12000.0,2.7,0.0,False
8PSK,12000,rep3,64,2.1987e-03,3.2584e-06,12000.0,2.7,0.0,False
8PSK,12000,rep5,1,2.1987e-03,1.0595e-07,7200.0,1.62,0.253333,True
8PSK,12000,rep5,16,2.1987e-03,4.7675e-08,7200.0,1.62,0.53909,True
8PSK,12000,rep5,64,2.1987e-03,2.3838e-08,7200.0,1.62,0.734227,True
16QAM,1200,none,1,6.5519e-09,6.5519e-09,4800.0,1.08,0.944964,True
16QAM,1200,none,16,6.5519e-09,2.9484e-09,4800.0,1.08,0.974848,True
16QAM,1200,none,64,6.5519e-09,1.4742e-09,4800.0,1.08,0.987344,True
16QAM,1200,hamming74,1,6.5519e-09,2.7756e-16,2742.86,0.617,1.0,True
16QAM,1200,hamming74,16,6.5519e-09,1.2490e-16,2742.86,0.617,1.0,True
16QAM,1200,hamming74,64,6.5519e-09,6.2450e-17,2742.86,0.617,1.0,True
16QAM,1200,rep3,1,6.5519e-09,1.2878e-16,1600.0,0.36,1.0,True
16QAM,1200,rep3,16,6.5519e-09,5.7952e-17,1600.0,0.36,1.0,True
16QAM,1200,rep3,64,6.5519e-09,2.8976e-17,1600.0,0.36,1.0,True
16QAM,1200,rep5,1,6.5519e-09,2.8126e-24,960.0,0.216,1.0,True
16QAM,1200,rep5,16,6.5519e-09,1.2657e-24,960.0,0.216,1.0,True
16QAM,1200,rep5,64,6.5519e-09,6.3283e-25,960.0,0.216,1.0,True
